表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
異常,名詞,形容動詞語幹,*,*,*,*,異常,イジョウ,イジョー,< 章なし >
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >
興奮,名詞,サ変接続,*,*,*,*,興奮,コウフン,コーフン,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
求めて,副詞,一般,*,*,*,*,求めて,モトメテ,モトメテ,< 章なし >
集っ,動詞,自立,*,*,五段・ラ行,連用タ接続,集る,タカッ,タカッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
七,名詞,数,*,*,*,*,七,ナナ,ナナ,< 章なし >
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
しかつめらしい,形容詞,自立,*,*,形容詞・イ段,基本形,しかつめらしい,シカツメラシイ,シカツメラシイ,< 章なし >
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
（,記号,括弧開,*,*,*,*,（,（,（,< 章なし >
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,< 章なし >
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
一人,名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,< 章なし >
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
）,記号,括弧閉,*,*,*,*,）,）,）,< 章なし >
態,名詞,一般,*,*,*,*,態,タイ,タイ,< 章なし >
々,記号,一般,*,*,*,*,々,々,々,< 章なし >
其為,名詞,一般,*,*,*,*,*,*,*,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
しつらえ,動詞,自立,*,*,一段,連用形,しつらえる,シツラエ,シツラエ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >
赤い部屋,名詞,固有名詞,一般,*,*,*,赤い部屋,アカイヘヤ,アカイヘヤ,< 章なし >
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
緋色,名詞,一般,*,*,*,*,緋色,ヒイロ,ヒイロ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
天鵞絨,名詞,一般,*,*,*,*,天鵞絨,ビロウド,ビロード,< 章なし >
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >
張っ,動詞,自立,*,*,五段・ラ行,連用タ接続,張る,ハッ,ハッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
深い,形容詞,自立,*,*,形容詞・アウオ段,基本形,深い,フカイ,フカイ,< 章なし >
肘掛,名詞,一般,*,*,*,*,肘掛,ヒジカケ,ヒジカケ,< 章なし >
椅子,名詞,一般,*,*,*,*,椅子,イス,イス,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
凭れ,動詞,自立,*,*,一段,連用形,凭れる,モタレ,モタレ,< 章なし >
込ん,動詞,非自立,*,*,五段・マ行,連用タ接続,込む,コン,コン,< 章なし >
で,助詞,接続助詞,*,*,*,*,で,デ,デ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
今晩,名詞,副詞可能,*,*,*,*,今晩,コンバン,コンバン,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
話手,名詞,一般,*,*,*,*,話し手,ハナシテ,ハナシテ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
何事,名詞,一般,*,*,*,*,何事,ナニゴト,ナニゴト,< 章なし >
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >
怪異,名詞,形容動詞語幹,*,*,*,*,怪異,カイイ,カイイ,< 章なし >
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >
物語,名詞,一般,*,*,*,*,物語,モノガタリ,モノガタリ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
話し出す,動詞,自立,*,*,五段・サ行,基本形,話し出す,ハナシダス,ハナシダス,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ,< 章なし >
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ,< 章なし >
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >
待,名詞,一般,*,*,*,*,待,マチ,マチ,< 章なし >
構え,動詞,自立,*,*,一段,連用形,構える,カマエ,カマエ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
七,名詞,数,*,*,*,*,七,ナナ,ナナ,< 章なし >
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
真中,名詞,一般,*,*,*,*,真中,マンナカ,マンナカ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,< 章なし >
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >
緋色,名詞,一般,*,*,*,*,緋色,ヒイロ,ヒイロ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
天鵞絨,名詞,一般,*,*,*,*,天鵞絨,ビロウド,ビロード,< 章なし >
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >
覆わ,動詞,自立,*,*,五段・ワ行促音便,未然形,覆う,オオワ,オオワ,< 章なし >
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,< 章なし >
円卓,名詞,一般,*,*,*,*,円卓,エンタク,エンタク,< 章なし >
子,名詞,接尾,一般,*,*,*,子,コ,コ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
古風,名詞,形容動詞語幹,*,*,*,*,古風,コフウ,コフー,< 章なし >
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >
彫刻,名詞,サ変接続,*,*,*,*,彫刻,チョウコク,チョーコク,< 章なし >
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,< 章なし >
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,< 章なし >
燭台,名詞,一般,*,*,*,*,燭台,ショクダイ,ショクダイ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
ささ,動詞,自立,*,*,五段・サ行,未然形,さす,ササ,ササ,< 章なし >
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
三,名詞,数,*,*,*,*,三,サン,サン,< 章なし >
挺,名詞,サ変接続,*,*,*,*,挺,テイ,テイ,< 章なし >
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,< 章なし >
太い,形容詞,自立,*,*,形容詞・アウオ段,基本形,太い,フトイ,フトイ,< 章なし >
蝋燭,名詞,一般,*,*,*,*,蝋燭,ロウソク,ローソク,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
ユラユラ,副詞,一般,*,*,*,*,ユラユラ,ユラユラ,ユラユラ,< 章なし >
と,助詞,副詞化,*,*,*,*,と,ト,ト,< 章なし >
幽か,名詞,形容動詞語幹,*,*,*,*,幽か,カスカ,カスカ,< 章なし >
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,< 章なし >
揺れ,動詞,自立,*,*,一段,連用形,揺れる,ユレ,ユレ,< 章なし >
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,< 章なし >
燃え,動詞,自立,*,*,一段,連用形,燃える,モエ,モエ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
部屋,名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
四,名詞,数,*,*,*,*,四,ヨン,ヨン,< 章なし >
周,名詞,接尾,助数詞,*,*,*,周,シュウ,シュー,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
窓,名詞,一般,*,*,*,*,窓,マド,マド,< 章なし >
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,< 章なし >
入口,名詞,一般,*,*,*,*,入口,イリグチ,イリグチ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
ドア,名詞,一般,*,*,*,*,ドア,ドア,ドア,< 章なし >
さえ,助詞,係助詞,*,*,*,*,さえ,サエ,サエ,< 章なし >
残さ,動詞,自立,*,*,五段・サ行,未然形,残す,ノコサ,ノコサ,< 章なし >
ない,助動詞,*,*,*,特殊・ナイ,連用デ接続,ない,ナイ,ナイ,< 章なし >
で,助詞,接続助詞,*,*,*,*,で,デ,デ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
天井,名詞,一般,*,*,*,*,天井,テンジョウ,テンジョー,< 章なし >
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >
床,名詞,一般,*,*,*,*,床,ユカ,ユカ,< 章なし >
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
真紅,名詞,一般,*,*,*,*,真紅,シンク,シンク,< 章なし >
