表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,< 章なし >
晴れ,動詞,自立,*,*,一段,連用形,晴れる,ハレ,ハレ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
秋の,名詞,固有名詞,一般,*,*,*,秋の,アキノ,アキノ,< 章なし >
一,名詞,数,*,*,*,*,一,イチ,イチ,< 章なし >
日,名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,< 章なし >
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
仲,名詞,一般,*,*,*,*,仲,ナカ,ナカ,< 章なし >
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,< 章なし >
よい,形容詞,自立,*,*,形容詞・アウオ段,基本形,よい,ヨイ,ヨイ,< 章なし >
友達,名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
訪ね,動詞,自立,*,*,一段,連用形,訪ねる,タズネ,タズネ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
一しきり,副詞,一般,*,*,*,*,一しきり,ヒトシキリ,ヒトシキリ,< 章なし >
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
はずん,動詞,自立,*,*,五段・マ行,連用タ接続,はずむ,ハズン,ハズン,< 章なし >
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,< 章なし >
あと,名詞,一般,*,*,*,*,あと,アト,アト,< 章なし >
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >
気持,名詞,一般,*,*,*,*,気持,キモチ,キモチ,< 章なし >
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,< 章なし >
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,< 章なし >
天気,名詞,一般,*,*,*,*,天気,テンキ,テンキ,< 章なし >
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,< 章なし >
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,< 章なし >
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
そこい,名詞,一般,*,*,*,*,底意,ソコイ,ソコイ,< 章なし >
