表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
佳子,名詞,固有名詞,人名,名,*,*,佳子,ケイコ,ケイコ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
毎朝,名詞,副詞可能,*,*,*,*,毎朝,マイアサ,マイアサ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
夫,名詞,一般,*,*,*,*,夫,オット,オット,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
登庁,名詞,サ変接続,*,*,*,*,登庁,トウチョウ,トーチョー,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
見送っ,動詞,自立,*,*,五段・ラ行,連用タ接続,見送る,ミオクッ,ミオクッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,< 章なし >
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >
と,助詞,接続助詞,*,*,*,*,と,ト,ト,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
いつも,副詞,一般,*,*,*,*,いつも,イツモ,イツモ,< 章なし >
十時,名詞,固有名詞,地域,一般,*,*,十時,トトキ,トトキ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
過ぎる,動詞,自立,*,*,一段,基本形,過ぎる,スギル,スギル,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
やっと,副詞,一般,*,*,*,*,やっと,ヤット,ヤット,< 章なし >
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
洋館,名詞,一般,*,*,*,*,洋館,ヨウカン,ヨーカン,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
夫,名詞,一般,*,*,*,*,夫,オット,オット,< 章なし >
と,助詞,格助詞,一般,*,*,*,と,ト,ト,< 章なし >
共用,名詞,サ変接続,*,*,*,*,共用,キョウヨウ,キョーヨー,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
書斎,名詞,一般,*,*,*,*,書斎,ショサイ,ショサイ,< 章なし >
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
とじ,動詞,自立,*,*,一段,連用形,とじる,トジ,トジ,< 章なし >
籠る,動詞,自立,*,*,五段・ラ行,基本形,籠る,コモル,コモル,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
例,名詞,一般,*,*,*,*,例,レイ,レイ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
そこで,接続詞,*,*,*,*,*,そこで,ソコデ,ソコデ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
Ｋ,記号,アルファベット,*,*,*,*,Ｋ,ケイ,ケイ,< 章なし >
雑誌,名詞,一般,*,*,*,*,雑誌,ザッシ,ザッシ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
この,連体詞,*,*,*,*,*,この,コノ,コノ,< 章なし >
夏,名詞,一般,*,*,*,*,夏,ナツ,ナツ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
増大,名詞,サ変接続,*,*,*,*,増大,ゾウダイ,ゾーダイ,< 章なし >
号,名詞,接尾,一般,*,*,*,号,ゴウ,ゴー,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
のせる,動詞,自立,*,*,一段,基本形,のせる,ノセル,ノセル,< 章なし >
為,名詞,非自立,副詞可能,*,*,*,為,タメ,タメ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
長い,形容詞,自立,*,*,形容詞・アウオ段,基本形,長い,ナガイ,ナガイ,< 章なし >
創作,名詞,サ変接続,*,*,*,*,創作,ソウサク,ソーサク,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
とり,動詞,自立,*,*,五段・ラ行,連用形,とる,トリ,トリ,< 章なし >
かかっ,動詞,非自立,*,*,五段・ラ行,連用タ接続,かかる,カカッ,カカッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
美しい,形容詞,自立,*,*,形容詞・イ段,基本形,美しい,ウツクシイ,ウツクシイ,< 章なし >
閨,名詞,固有名詞,地域,一般,*,*,閨,ネヤ,ネヤ,< 章なし >
秀作,名詞,一般,*,*,*,*,秀作,シュウサク,シューサク,< 章なし >
家,名詞,接尾,一般,*,*,*,家,カ,カ,< 章なし >
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
此,名詞,固有名詞,人名,姓,*,*,此,コノ,コノ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
頃,名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ,< 章なし >
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
外務省,名詞,固有名詞,組織,*,*,*,外務省,ガイムショウ,ガイムショー,< 章なし >
書記官,名詞,一般,*,*,*,*,書記官,ショキカン,ショキカン,< 章なし >
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,< 章なし >
夫君,名詞,一般,*,*,*,*,夫君,フクン,フクン,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
影,名詞,一般,*,*,*,*,影,カゲ,カゲ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
薄く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,薄い,ウスク,ウスク,< 章なし >
思わ,動詞,自立,*,*,五段・ワ行促音便,未然形,思う,オモワ,オモワ,< 章なし >
せる,動詞,接尾,*,*,一段,基本形,せる,セル,セル,< 章なし >
程,名詞,非自立,一般,*,*,*,程,ホド,ホド,< 章なし >
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
有名,名詞,形容動詞語幹,*,*,*,*,有名,ユウメイ,ユーメイ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
所,名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ,< 章なし >
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
毎日,名詞,固有名詞,組織,*,*,*,毎日,マイニチ,マイニチ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,< 章なし >
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,< 章なし >
未知,名詞,一般,*,*,*,*,未知,ミチ,ミチ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
崇拝,名詞,サ変接続,*,*,*,*,崇拝,スウハイ,スーハイ,< 章なし >
者,名詞,接尾,一般,*,*,*,者,シャ,シャ,< 章なし >
達,名詞,接尾,一般,*,*,*,達,タチ,タチ,< 章なし >
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
手紙,名詞,一般,*,*,*,*,手紙,テガミ,テガミ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
幾,名詞,数,*,*,*,*,幾,イク,イク,< 章なし >
通,名詞,接尾,助数詞,*,*,*,通,ツウ,ツー,< 章なし >
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,< 章なし >
やって来,動詞,自立,*,*,カ変・来ル,連用形,やって来る,ヤッテキ,ヤッテキ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
今朝,名詞,副詞可能,*,*,*,*,今朝,ケサ,ケサ,< 章なし >
とても,副詞,助詞類接続,*,*,*,*,とても,トテモ,トテモ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
書斎,名詞,一般,*,*,*,*,書斎,ショサイ,ショサイ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
机,名詞,一般,*,*,*,*,机,ツクエ,ツクエ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
坐る,動詞,自立,*,*,五段・ラ行,基本形,坐る,スワル,スワル,< 章なし >
と,助詞,接続助詞,*,*,*,*,と,ト,ト,< 章なし >
