表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >
辻堂,名詞,一般,*,*,*,*,辻堂,ツジドウ,ツジドー,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
奴,名詞,一般,*,*,*,*,奴,ヤッコ,ヤッコ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
とうとう,副詞,一般,*,*,*,*,とうとう,トウトウ,トートー,< 章なし >
死に,動詞,自立,*,*,五段・ナ行,連用形,死ぬ,シニ,シニ,< 章なし >
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,< 章なし >
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >
腹心,名詞,一般,*,*,*,*,腹心,フクシン,フクシン,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
多少,副詞,助詞類接続,*,*,*,*,多少,タショウ,タショー,< 章なし >
手柄顔,名詞,一般,*,*,*,*,手柄顔,テガラガオ,テガラガオ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
こう,副詞,助詞類接続,*,*,*,*,こう,コウ,コー,< 章なし >
報告,名詞,サ変接続,*,*,*,*,報告,ホウコク,ホーコク,< 章なし >
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
平田,名詞,固有名詞,人名,姓,*,*,平田,ヒラタ,ヒラタ,< 章なし >
氏,名詞,接尾,人名,*,*,*,氏,シ,シ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
少から,形容詞,自立,*,*,形容詞・アウオ段,未然ヌ接続,少い,スクナカラ,スクナカラ,< 章なし >
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ,< 章なし >
驚い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,驚く,オドロイ,オドロイ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
尤も,接続詞,*,*,*,*,*,尤も,モットモ,モットモ,< 章なし >
大分,名詞,固有名詞,地域,一般,*,*,大分,オオイタ,オーイタ,< 章なし >
以前,名詞,副詞可能,*,*,*,*,以前,イゼン,イゼン,< 章なし >
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
病気,名詞,サ変接続,*,*,*,*,病気,ビョウキ,ビョーキ,< 章なし >
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >
床,名詞,一般,*,*,*,*,床,ユカ,ユカ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
つい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
切り,名詞,一般,*,*,*,*,切り,キリ,キリ,< 章なし >
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,< 章なし >
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
聞い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >
けれど,助詞,接続助詞,*,*,*,*,けれど,ケレド,ケレド,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
それにしても,接続詞,*,*,*,*,*,それにしても,ソレニシテモ,ソレニシテモ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,< 章なし >
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
うるさく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,うるさい,ウルサク,ウルサク,< 章なし >
つけ狙っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,つけ狙う,ツケネラッ,ツケネラッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
仇,名詞,一般,*,*,*,*,仇,アダ,アダ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
（,記号,括弧開,*,*,*,*,（,（,（,< 章なし >
あいつ,名詞,代名詞,一般,*,*,*,あいつ,アイツ,アイツ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
勝手,名詞,形容動詞語幹,*,*,*,*,勝手,カッテ,カッテ,< 章なし >
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,< 章なし >
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,< 章なし >
極め,動詞,自立,*,*,一段,連用形,極める,キワメ,キワメ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >
）,記号,括弧閉,*,*,*,*,）,）,）,< 章なし >
うつ,動詞,自立,*,*,五段・タ行,基本形,うつ,ウツ,ウツ,< 章なし >
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
生涯,名詞,副詞可能,*,*,*,*,生涯,ショウガイ,ショーガイ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
目的,名詞,一般,*,*,*,*,目的,モクテキ,モクテキ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >
彼奴,名詞,代名詞,一般,*,*,*,彼奴,アイツ,アイツ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
どてっ,副詞,一般,*,*,*,*,どてっ,ドテッ,ドテッ,< 章なし >
腹,名詞,一般,*,*,*,*,腹,ハラ,ハラ,< 章なし >
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
この,連体詞,*,*,*,*,*,この,コノ,コノ,< 章なし >
短刀,名詞,一般,*,*,*,*,短刀,タントウ,タントー,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
ぐっさり,副詞,一般,*,*,*,*,ぐっさり,グッサリ,グッサリ,< 章なし >
と,助詞,副詞化,*,*,*,*,と,ト,ト,< 章なし >
突き,動詞,自立,*,*,五段・カ行イ音便,連用形,突く,ツキ,ツキ,< 章なし >
さす,動詞,接尾,*,*,五段・サ行,基本形,さす,サス,サス,< 章なし >
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
死ん,動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン,< 章なし >
で,助詞,接続助詞,*,*,*,*,で,デ,デ,< 章なし >
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >
死に,動詞,自立,*,*,五段・ナ行,連用形,死ぬ,シニ,シニ,< 章なし >
切れ,動詞,非自立,*,*,一段,未然形,切れる,キレ,キレ,< 章なし >
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >
口癖,名詞,一般,*,*,*,*,口癖,クチグセ,クチグセ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,< 章なし >
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,< 章なし >
云っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,云う,ユッ,ユッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,< 章なし >
辻堂,名詞,一般,*,*,*,*,辻堂,ツジドウ,ツジドー,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,< 章なし >
目的,名詞,一般,*,*,*,*,目的,モクテキ,モクテキ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
果し,動詞,自立,*,*,五段・サ行,連用形,果す,ハタシ,ハタシ,< 章なし >
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >
しない,名詞,一般,*,*,*,*,しない,シナイ,シナイ,< 章なし >
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >
死ん,動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン,< 章なし >
で,助詞,接続助詞,*,*,*,*,で,デ,デ,< 章なし >
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,< 章なし >
っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,く,ッ,ッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
どうにも,副詞,一般,*,*,*,*,どうにも,ドウニモ,ドーニモ,< 章なし >
考え,動詞,自立,*,*,一段,未然形,考える,カンガエ,カンガエ,< 章なし >
られ,動詞,接尾,*,*,一段,未然形,られる,ラレ,ラレ,< 章なし >
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >
ほんとう,名詞,一般,*,*,*,*,ほんとう,ホントウ,ホントー,< 章なし >
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,< 章なし >
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >
平田,名詞,固有名詞,人名,姓,*,*,平田,ヒラタ,ヒラタ,< 章なし >
氏,名詞,接尾,人名,*,*,*,氏,シ,シ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
思わず,副詞,助詞類接続,*,*,*,*,思わず,オモワズ,オモワズ,< 章なし >
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,< 章なし >
腹心,名詞,一般,*,*,*,*,腹心,フクシン,フクシン,< 章なし >
