表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
彦太郎,名詞,固有名詞,人名,名,*,*,彦太郎,ヒコタロウ,ヒコタロー,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
勤め先,名詞,一般,*,*,*,*,勤め先,ツトメサキ,ツトメサキ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
木綿問屋,名詞,固有名詞,一般,*,*,*,木綿問屋,モメンドイヤ,モメンドイヤ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
しくじっ,動詞,自立,*,*,五段・ラ行,連用タ接続,しくじる,シクジッ,シクジッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
父親,名詞,一般,*,*,*,*,父親,チチオヤ,チチオヤ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
所,名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ,< 章なし >
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,< 章なし >
帰っ,動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >
もう,副詞,一般,*,*,*,*,もう,モウ,モー,< 章なし >
三,名詞,数,*,*,*,*,三,サン,サン,< 章なし >
ヶ月,名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
旧,接頭詞,名詞接続,*,*,*,*,旧,キュウ,キュー,< 章なし >
藩主,名詞,一般,*,*,*,*,藩主,ハンシュ,ハンシュ,< 章なし >
Ｍ,記号,アルファベット,*,*,*,*,Ｍ,エム,エム,< 章なし >
伯爵,名詞,一般,*,*,*,*,伯爵,ハクシャク,ハクシャク,< 章なし >
邸,名詞,接尾,一般,*,*,*,邸,テイ,テイ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
小使,名詞,一般,*,*,*,*,小使,コヅカイ,コズカイ,< 章なし >
