表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
「,記号,括弧開,*,*,*,*,「,「,「,,,,0,0
オイ,名詞,固有名詞,人名,一般,*,*,オイ,オイ,オイ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
緑,名詞,固有名詞,人名,名,*,*,緑,ミドリ,ミドリ,,,,0,0
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,,,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,0
ぼんやり,名詞,サ変接続,*,*,*,*,ぼんやり,ボンヤリ,ボンヤリ,,,,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,0
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル,,,,0,0
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,,,,0,0
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,,,0,0
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
ここ,名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,,,,0,1
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,,,0,1
来,動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
お前,名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ,,,,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,1
一杯,名詞,一般,*,*,*,*,一杯,イッパイ,イッパイ,,,,0,1
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,,,,0,1
相伴,名詞,サ変接続,*,*,*,*,相伴,ショウバン,ショーバン,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
あずかん,動詞,自立,*,*,五段・ラ行,体言接続特殊,あずかる,アズカン,アズカン,,,,0,1
ねえ,助詞,終助詞,*,*,*,*,ねえ,ネエ,ネー,,,,0,1
」,記号,括弧閉,*,*,*,*,」,」,」,,,,0,1
肉襦袢,名詞,一般,*,*,*,*,肉襦袢,ニクジバン,ニクジバン,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
紫,名詞,固有名詞,人名,姓,*,*,紫,ムラサキ,ムラサキ,,,,0,1
繻子,名詞,一般,*,*,*,*,繻子,シュス,シュス,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
金糸,名詞,一般,*,*,*,*,金糸,キンシ,キンシ,,,,0,1
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,,,0,1
ふち,名詞,一般,*,*,*,*,ふち,フチ,フチ,,,,0,1
取り,名詞,接尾,一般,*,*,*,取り,トリ,トリ,,,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,1
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
猿股,名詞,一般,*,*,*,*,猿股,サルマタ,サルマタ,,,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,1
はい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,はく,ハイ,ハイ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,,,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
鏡,名詞,一般,*,*,*,*,鏡,カガミ,カガミ,,,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,1
抜い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,抜く,ヌイ,ヌイ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
酒樽,名詞,一般,*,*,*,*,酒樽,サカダル,サカダル,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
立ちはだかっ,動詞,自立,*,*,五段・ラ行,連用タ接続,立ちはだかる,タチハダカッ,タチハダカッ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
妙,名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー,,,,0,1
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,1
優しい,形容詞,自立,*,*,形容詞・イ段,基本形,優しい,ヤサシイ,ヤサシイ,,,,0,1
声,名詞,一般,*,*,*,*,声,コエ,コエ,,,,0,1
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,,,0,1
云っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,云う,ユッ,ユッ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
。,記号,句点,*,*,*,*,。,。,。,,,,0,1
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,,,0,2
調子,名詞,一般,*,*,*,*,調子,チョウシ,チョーシ,,,,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,2
、,記号,読点,*,*,*,*,、,、,、,,,,0,2
何となく,副詞,一般,*,*,*,*,何となく,ナントナク,ナントナク,,,,0,2
意味,名詞,サ変接続,*,*,*,*,意味,イミ,イミ,,,,0,2
あり,動詞,自立,*,*,ラ変,基本形,あり,アリ,アリ,,,,0,2
気,名詞,非自立,一般,*,*,*,気,キ,キ,,,,0,2
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,,,,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,2
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,,,,0,2
、,記号,読点,*,*,*,*,、,、,、,,,,0,2
酒,名詞,一般,*,*,*,*,酒,サケ,サケ,,,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,2
気,名詞,一般,*,*,*,*,気,キ,キ,,,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,2
とら,動詞,自立,*,*,五段・ラ行,未然形,とる,トラ,トラ,,,,0,2
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,2
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,2
、,記号,読点,*,*,*,*,、,、,、,,,,0,2
一座,名詞,サ変接続,*,*,*,*,一座,イチザ,イチザ,,,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,2
男女,名詞,一般,*,*,*,*,男女,ダンジョ,ダンジョ,,,,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,2
一斉に,副詞,一般,*,*,*,*,一斉に,イッセイニ,イッセイニ,,,,0,2
緑,名詞,固有名詞,人名,名,*,*,緑,ミドリ,ミドリ,,,,0,2
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,,,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,2
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,,,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,2
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,,,,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,2
。,記号,句点,*,*,*,*,。,。,。,,,,0,2
舞台,名詞,一般,*,*,*,*,舞台,ブタイ,ブタイ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
隅,名詞,一般,*,*,*,*,隅,スミ,スミ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
丸太,名詞,一般,*,*,*,*,丸太,マルタ,マルタ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
柱,名詞,一般,*,*,*,*,柱,ハシラ,ハシラ,,,,0,3
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,3
よりかかっ,動詞,自立,*,*,五段・ラ行,連用タ接続,よりかかる,ヨリカカッ,ヨリカカッ,,,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
遠く,名詞,副詞可能,*,*,*,*,遠く,トオク,トーク,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,,,,0,3
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,3
同僚,名詞,一般,*,*,*,*,同僚,ドウリョウ,ドーリョー,,,,0,3
達,名詞,接尾,一般,*,*,*,達,タチ,タチ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
酒宴,名詞,一般,*,*,*,*,酒宴,シュエン,シュエン,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
様子,名詞,一般,*,*,*,*,様子,ヨウス,ヨース,,,,0,3
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,3
眺め,動詞,自立,*,*,一段,連用形,眺める,ナガメ,ナガメ,,,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,3
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,3
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,3
一寸法師,名詞,一般,*,*,*,*,一寸法師,イッスンボウシ,イッスンボーシ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
緑,名詞,一般,*,*,*,*,緑,ミドリ,ミドリ,,,,0,3
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,,,,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,,,,0,3
云わ,動詞,自立,*,*,五段・ワ行促音便,未然形,云う,イワ,イワ,,,,0,3
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル,,,,0,3
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
いつも,副詞,一般,*,*,*,*,いつも,イツモ,イツモ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
通り,名詞,一般,*,*,*,*,通り,トオリ,トーリ,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
さも,副詞,一般,*,*,*,*,さも,サモ,サモ,,,,0,3
さ,名詞,接尾,特殊,*,*,*,さ,サ,サ,,,,0,3
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,3
好人物,名詞,一般,*,*,*,*,好人物,コウジンブツ,コージンブツ,,,,0,3
らしく,助動詞,*,*,*,形容詞・イ段,連用テ接続,らしい,ラシク,ラシク,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,,,,0,3
口,名詞,一般,*,*,*,*,口,クチ,クチ,,,,0,3
